_id,username,year,month,income.Petty cash,income.Allowance,income.Other,income.Part-time,income.Salary,income.Rental Income,expenses.Utilities,expenses.Apparel,expenses.Social Life,expenses.Household,expenses.Food,expenses.Self-development,expenses.Transportation,expenses.Gift,comments[0],comments[1],comments[2],comments[3],comments[4],comments[5],comments[6],comments[7],comments[8],comments[9],comments[10],comments[11],comments[12],comments[13],comments[14],comments[15],comments[16],comments[17],comments[18],comments[19],comments[20],comments[21],comments[22],comments[23],comments[24],comments[25],comments[26],comments[27],comments[28],comments[29],comments[30],comments[31],comments[32],comments[33],comments[34],comments[35],comments[36],comments[37],comments[38],comments[39],comments[40],comments[41],comments[42],comments[43],comments[44],comments[45],comments[46],comments[47],comments[48],comments[49],comments[50],comments[51],comments[52],comments[53],comments[54],comments[55],comments[56],comments[57],comments[58],comments[59],comments[60],comments[61],comments[62],comments[63],comments[64],comments[65],comments[66],comments[67],comments[68],comments[69],comments[70],comments[71],comments[72],comments[73],comments[74],comments[75],comments[76],comments[77],comments[78],comments[79],comments[80],comments[81],comments[82],comments[83],comments[84],comments[85],comments[86],comments[87],comments[88],comments[89],comments[90],comments[91],expenses.Rent,expenses.Groceries,expenses.Car,expenses.Beauty,expenses.Education,expenses.Other,expenses.Movie,key,income.Object,income[0],income[1],income[2],income[3],income[4],income[5],comment,income.Part-Time,comments,income.Pocket Money,income.Other Income,expenses.Trip,expenses.Transport,expenses.Other Expenses,income.Trading,expenses.Parties,income.,expenses.,expenses.Gifts,expenses.Grocery,expenses.Credit-card,expenses.Travel,expenses.Shopping
655154a8bd35660230582595,angeladennis,2015,April,2238.46,3503.48,1198.48,2000,2000,4000,4459.75,3575.58,3271.04,1169.98,3701.23,2947.42,225.74,4995.83,High environmental be car nice firm.,Exactly number really along without stop time.,Knowledge positive skill lawyer listen cold share whom.,Would though wind reality else senior high.,Dog TV blood near instead voice decision.,City democratic share process age.,Knowledge yeah human set product special.,Beat memory future.,Just small Congress middle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582596,angeladennis,2015,August,,3903.75,735.87,1784.75,,2081.89,,3985.55,2354.26,,,,,2262,None financial listen manage only model development.,Until almost particular page create represent security.,Technology future focus center.,Guess happy book possible across discussion.,Friend necessary him challenge.,Drug always she name to short fight friend.,Modern phone run type.,Into very expert.,Girl name away top marriage.,Who environmental can oil store southern.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4419.63,94.54,3721.28,4034.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582597,angeladennis,2015,December,,,833.27,1882.39,,1984.88,,,,2645.46,,,,4892.59,Often cultural debate Mr cost.,Star professional phone hope finish.,Baby cause sound buy one garden.,Risk issue student head.,Culture hope beautiful up economic inside each.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3045.12,,,3772.99,2394.29,3270.78,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582598,angeladennis,2015,February,2613.2,4740.74,,,3889.81,,,233.3,,2386.18,,1672.56,3403.44,,Various hit organization defense soldier hot modern.,Bar degree think anything.,Painting human this experience.,Them base opportunity dark.,Husband man reduce certain town sport appear.,Organization name form support share.,Statement within lawyer debate represent article.,Nothing write some hand really.,Within blood charge administration answer PM building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4402.78,3017.77,,721.32,,4205.45,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd35660230582599,angeladennis,2015,January,623.41,1785.66,1629.97,,,,3145.95,4923.4,,,,1487.34,,,Tree enjoy religious reveal.,It whatever crime table girl store agent.,Reason mission cell like position interesting.,Financial successful new southern.,Pattern suggest spend decision hope entire.,Author firm fish.,South form job include his read cover.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3249.88,,1191.26,1357.61,2063.83,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058259a,angeladennis,2015,July,4727.76,,,901.3,2774.01,,4821.48,26.6,,3412.11,,,,4854.91,Guess away order security break find.,Risk spend much book family task her party.,Foot job animal model strategy.,Government lot news wind.,Election movement office pass forget night level.,Bag lose site nearly tree class daughter race.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.66,4934.94,3172.35,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058259b,angeladennis,2015,June,842.28,2092.47,1167.77,1093.88,2942.87,416.07,2327.95,,1976.2,,,,,2573.06,Maybe just list bar.,Yes huge situation speak technology.,Main game report relationship of sister place.,Bad government culture.,Just heart green each.,Apply machine market unit know.,Police throw plan line your.,Assume federal field risk exist anyone eat peace.,Want magazine fact final.,Ok stand into try offer city.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4172.25,,2491.82,338.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058259c,angeladennis,2015,March,3804.93,,4597.99,,3114.15,,,,,453.69,,4767.71,,3671.36,Lot country drop rate it chance.,Fund group or house authority suggest.,Wear toward gas more near bill.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152.21,1012.13,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058259d,angeladennis,2015,May,2394.34,3085.88,4121.74,3801.79,,1258.75,,,,,4304.55,,,,Door computer management he information.,Skill throughout site identify.,Television prepare life but perhaps.,Past consider various for sea song.,Study her cost.,Carry few will true crime remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4637.63,,,3412.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058259e,angeladennis,2015,November,4094.33,,,93.49,962.83,,,,2955.1,4546.44,,,2431.27,3575.62,Hear thus education notice around.,Threat room return pass sea cover black.,Above region city summer new.,Call sit southern few ago series detail.,Outside suddenly let like expect style.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd3566023058259f,angeladennis,2015,October,,,,,4215.52,,4889.92,,4654.39,407.52,,872.15,,,Lay society international successful discussion value medical part.,And fly foreign place floor current.,Room hear case teach radio create remember short.,Study technology decide another weight eye.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655154a8bd356602305825a0,angeladennis,2015,September,,,3669.87,2809.98,,3922.18,1185.24,1131.01,,,3601.38,4082.64,3961.06,,Close shake her view talk.,Kid president physical live article.,Option huge perform detail size they water.,Break on why do.,Few I person under positive.,Find effort job movie foreign.,Sit green law range explain lot sense suddenly.,Generation data bit director.,Five art early fill daughter true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526.54,,,,4350.49,816.24,,,,,,,,,,,,,,,,,,,,,,,,,,
